state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,21,20,2275.31206000,9500576.02666000,0.00227770,16.013556,,9.50631290,61747.952133,3947,2378,1454266,2635,,3947
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,120,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3601.69300000,,,,0.00361374,14.058009,1013,,5237,,,93
CHANDIGARH,526,TON,1,,,,815166.63341000,,,,0.81519137,1650.833167,121,119,7109,,,1
CHHATTISGARH,100,TON,20,15,15,1061.88900000,1517297.48335000,0.00106223,2.621402,384,1.51765731,3196.604417,3766,256,136299,696,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,45,34,1705.16800000,3070703.96833000,0.00170556,5.976604,,3.07181035,12255.346062,10290,7190,869902,769,,0
HARYANA,32,TON,108,86,53,38146.15700000,35643465.22704000,0.03825322,122.954954,6904,35.75280992,115066.185727,17839,30909,2727261,12083,,45
HIMACHAL PRADESH,43,TON,38,11,10,107.61440000,478359.59836000,0.00010771,0.325892,137,0.47918344,1848.557826,2346,1161,125676,143,,0
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,12,12,1196.79100000,262239.57190000,0.00119680,7.357835,,0.26224895,1576.842961,2752,203,52168,77,,399
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,3,3,29.20643000,35031.69009000,0.00002921,0.062577,,0.03503461,69.881118,2575,,268146,3,,43
KARNATAKA,695,TON,5,2,2,178.35000000,265506.48806000,0.00017835,1.201028,,0.26550662,1917.238944,851,856,1576,58,,15
KERALA,694,TON,6,,,,791.75860000,,,,0.00079932,2.596285,444,,3212,,,3
MADHYA PRADESH,20,TON,139,37,26,4374.29850000,10827333.61738000,0.00437469,10.801788,1304,10.82962869,36136.387929,25965,,3025279,1369,,1091
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,73,35,4184.41529000,5971666.52212500,0.00760209,11.996396,1073,9.76915535,22228.244079,23574,18497,1247007,1398,,0
NAGALAND,35,TON,19,1,1,0.70000000,1241.78000000,0.00000070,0.003220,,0.00124178,5.481489,182,,184,1,,
ODISHA,384,NOS,,3,2,8082.00000000,491113374.00000000,0.00080820,0.017468,,49.11133710,120.588823,,,,6,,
ODISHA,384,TON,66,42,39,1515.66900000,2534705.63553000,0.00151571,3.862987,241,2.53482385,6349.558834,10205,,476493,365,,10205
PUDUCHERRY,599,TON,2,1,1,2.12300000,54397.96886220,0.00000211,0.008554,,1.74324530,204.703628,236,,13630,11,,0
PUNJAB,602,TON,79,26,21,2356.29500000,4410332.63848000,0.00235745,7.760516,968,4.41097372,14257.938383,4450,13340,217935,663,,0
RAJASTHAN,26,NOS,,,,,11972363.00000000,,,,1.19723630,23.044891,,,,,,
RAJASTHAN,26,TON,173,,,,30479611.85316000,,,35,30.50131517,125796.412768,87289,27822,1553773,,,87289
TAMIL NADU,509,TON,213,65,64,3042.69017000,3386509.76601580,0.00304387,7.561872,1858,34.24660141,9139.553129,13048,0,473611,2783,,2662
TAMIL NADU,509,NOS,,3,3,33563.00000000,33028055.00000000,0.00335630,0.036906,,3.30280520,35.574135,,,,4,,
TELANGANA,28,TON,57,31,25,3796.12738000,7714604.30853000,0.00379712,11.310895,308,7.71811308,28860.034235,6393,5251,1823964,2618,,6393
TRIPURA,36,TON,19,1,1,0.05000000,75.79200000,0.00000005,0.000225,1,0.00007584,0.793010,66,,83,1,,3
UTTAR PRADESH,46,TON,162,111,98,5199.41600000,8080754.33560000,0.00519942,11.473770,754,8.08090636,15897.137732,40917,8576,3305584,1423,,32188
UTTARAKHAND,385,TON,20,16,16,1098.56600000,996497.10203000,0.00109858,1.840088,283,0.99659425,1591.990007,6266,2728,92329,323,,6266
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,12,12,70.47500000,111938.44060000,0.00007055,0.169486,128,0.11205052,226.228477,5779,125,104252,128,,0
