state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,22,21,1991.21910000,9534632.28858000,0.00199274,13.352008,,9.54039407,61970.868099,3954,2378,1454268,2640,,3954
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,120,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3601.69300000,,,,0.00361374,14.058009,1014,,5256,,,93
CHANDIGARH,526,TON,1,1,,,816512.93341000,,,18,0.81653767,1652.896397,121,119,7109,,,1
CHHATTISGARH,100,TON,20,12,11,1107.63000000,1533265.69235000,0.00110786,2.614623,431,1.53362888,3237.861853,3772,256,136302,614,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,37,36,1743.33200000,3103197.91803000,0.00174366,6.771495,,3.10430904,12362.127930,10290,7190,869905,754,,0
HARYANA,32,TON,108,82,51,46134.11500000,36483384.42954000,0.04623443,161.014422,5301,36.59303322,117952.410963,17883,30963,2727261,14771,,45
HIMACHAL PRADESH,43,TON,38,11,10,76.65500000,479645.84007000,0.00007678,0.307761,124,0.48047140,1853.903404,2346,1161,125677,125,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,10,10,721.40100000,278556.34890000,0.00072140,4.378338,,0.27856579,1672.259237,2752,203,52181,56,,399
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,2,2,15.92000000,35515.31399000,0.00001592,0.047985,,0.03551825,71.041707,2586,,268318,6,,43
KARNATAKA,695,TON,5,2,2,131.85000000,267448.53806000,0.00013185,0.848526,,0.26744867,1929.763238,851,856,1576,33,,15
KERALA,694,TON,6,1,1,0.26650000,795.06883000,0.00000026,0.001080,,0.00080262,2.608545,448,,3218,10,,3
MADHYA PRADESH,20,TON,139,29,23,5165.49886000,10896128.51084000,0.00516607,13.360405,1048,10.89842834,36304.108162,25968,,3025280,1461,,1091
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,51,21,3770.91400000,6013224.10212500,0.01140205,9.624900,1011,9.84005357,22357.520593,23580,18505,1247159,1485,,0
NAGALAND,35,TON,19,,,,1248.38000000,,,,0.00124838,5.516105,182,,184,,,
ODISHA,384,TON,66,49,49,4523.09600000,2572404.15953000,0.00452324,13.193807,462,2.57252386,6452.059665,10231,,478336,626,,10231
ODISHA,384,NOS,,2,3,1215785.00000000,498136741.00000000,0.12157850,0.099943,,49.81367380,121.825170,,,,35,,
PUDUCHERRY,599,TON,2,1,1,1.98000000,54416.89686220,0.00000198,0.003617,,1.74326425,204.760299,236,,13630,1,,0
PUNJAB,602,TON,79,27,22,5894.33600000,4462096.66548000,0.00589585,19.432110,958,4.46275146,14418.187625,4474,13354,217938,1235,,0
RAJASTHAN,26,TON,173,,,,30479611.85316000,,,16,30.50131517,125796.412768,87289,27822,1553775,,,87289
RAJASTHAN,26,NOS,,,,,11972363.00000000,,,,1.19723630,23.044891,,,,,,
TAMIL NADU,509,NOS,,2,2,4750.00000000,33313458.00000000,0.00047500,0.009070,,3.33134550,36.123323,,,,6,,
TAMIL NADU,509,TON,213,83,81,2129.99983000,3411925.02235580,0.00213084,4.986180,1428,34.27202811,9205.436260,13095,0,473905,1676,,2676
TELANGANA,28,TON,57,30,26,5455.76195000,7790610.49929000,0.00545663,14.861847,260,7.79413972,29089.153924,6401,5255,1823964,3001,,6401
TELANGANA,28,NOS,,,,,2496.00000000,,,,0.00024960,0.468250,,,,,,
TRIPURA,36,TON,19,,,,76.50400000,,,,0.00007655,0.797128,66,,83,,,3
UTTAR PRADESH,46,TON,162,98,87,3650.03700000,8134839.71160000,0.00365004,8.102455,667,8.13499188,16019.453505,40923,8576,3305592,1155,,32190
UTTARAKHAND,385,TON,20,14,13,678.28000000,1007340.89603000,0.00067833,1.288039,327,1.00743836,1610.698109,6270,2728,92335,292,,6270
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,14,13,91.51000000,113141.84460000,0.00009154,0.276259,119,0.11325466,229.439372,5781,125,104951,141,,0
