state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,18,17,3266.45565000,9208711.75730000,0.00326814,12.154096,,9.21429121,60134.443975,3889,2364,1454233,1938,,3889
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,99,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3486.14400000,,,,0.00349819,13.811490,1004,,5209,,,93
CHANDIGARH,526,TON,1,,,,801351.35841000,,,,0.80137609,1623.496860,121,119,7108,,,1
CHHATTISGARH,100,TON,20,15,15,1512.46800000,1423610.63335000,0.00151272,3.201089,545,1.42395217,2989.463683,3715,255,136229,725,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1001,,30,,,
GUJARAT,22,TON,144,32,28,423.46100000,2998545.70303000,0.00042368,2.077245,,2.99962643,11897.537764,10283,7189,869881,391,,0
HARYANA,32,TON,108,46,23,3106.09300000,34335759.22799000,0.00310652,8.672236,1131,34.44294706,110943.937936,17605,30513,2727252,2733,,45
HIMACHAL PRADESH,43,TON,38,19,19,381.59239000,458460.63746000,0.00038194,2.150813,312,0.45926947,1740.220583,2332,1159,125664,400,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,5,5,9.56800000,169918.37271000,0.00000957,0.057560,,0.16992763,1055.306870,2747,200,51972,15,,365
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34434.79896000,,,,0.03443766,68.343804,2555,,267363,,,42
KARNATAKA,695,TON,5,1,1,273.35000000,253898.58806000,0.00027335,1.706176,,0.25389872,1846.515164,842,852,1562,126,,15
KERALA,694,TON,6,1,,,772.31384000,,,,0.00077981,2.528597,444,,3182,,,3
MADHYA PRADESH,20,TON,139,48,35,3122.80762000,10539053.22407000,0.00312321,11.322028,1092,10.54131439,35189.192495,25934,,3025222,1235,,1085
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,77,40,5073.36946000,5750939.81534500,0.00507413,15.828037,1026,9.29148794,21446.140927,23451,18456,1243616,2785,,0
NAGALAND,35,TON,19,,,,1176.18000000,,,,0.00117618,5.154300,181,,184,,,
ODISHA,384,TON,66,39,38,2918.55400000,2317258.17243000,0.00291858,6.925406,387,2.31736898,5780.272680,10106,,461859,451,,10106
ODISHA,384,NOS,,2,2,1750096.00000000,459714618.00000000,0.17500960,0.120268,,45.97146150,114.249987,,,,46,,
PUDUCHERRY,599,TON,2,2,2,27.46400000,53777.47386220,0.00002752,0.149732,,1.74262441,202.962833,234,,13630,92,,0
PUNJAB,602,TON,79,14,11,2113.70000000,4224517.96948000,0.00211370,4.311638,324,4.22511225,13717.389157,3827,11464,217898,323,,0
RAJASTHAN,26,TON,173,121,95,9146.73850000,29181357.39348000,0.00914825,34.546224,3656,29.20073538,120664.369970,86963,27640,1549524,6334,,86963
RAJASTHAN,26,NOS,,1,1,201.00000000,11310723.00000000,0.00002010,0.001063,,1.13107230,21.751840,,,,12,,
TAMIL NADU,509,NOS,,6,6,68082.00000000,30616020.00000000,0.00680820,0.102827,,3.06160170,30.983197,,,,12,,
TAMIL NADU,509,TON,213,90,86,6592.40847000,3146097.55577580,0.00659459,16.338129,4755,34.00718350,8510.328998,12665,0,469629,5114,,2546
TELANGANA,28,TON,57,16,14,471.83994000,7605270.84206000,0.00047206,2.687512,120,7.60874125,28489.096325,6373,5162,1823962,467,,6373
TRIPURA,36,TON,19,,,,56.98500000,,,,0.00005702,0.700681,65,,75,,,3
UTTAR PRADESH,46,TON,162,107,100,3746.02000000,7763197.92260000,0.00374602,8.559996,635,7.76334965,15170.832852,40526,8574,3305258,1313,,32195
UTTARAKHAND,385,TON,20,11,10,554.91500000,923230.98903000,0.00055492,0.819678,200,0.92332630,1468.888081,6217,2724,92195,239,,6217
WEST BENGAL,569,TON,18,15,15,90.11000000,105386.66160000,0.00009017,0.267228,147,0.10549388,208.123955,5746,125,100388,151,,0
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
