state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,12,13,945.17360000,9400022.66429000,0.00094634,5.331705,,9.40569512,61085.302302,3932,2366,1454249,914,,3932
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,119,,,
BIHAR,33,TON,20,,,,3594.79300000,,,,0.00360684,14.046969,1012,,5228,,,93
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
CHANDIGARH,526,TON,1,1,,,811469.85841000,,,22,0.81149459,1644.375072,121,119,7109,,,1
CHHATTISGARH,100,TON,20,2,2,17.80000000,1491545.54235000,0.00001780,0.035187,18,1.49190018,3138.736927,3754,256,136289,18,,0
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GUJARAT,22,TON,144,35,30,647.67900000,3046223.26263000,0.00064791,2.550293,,3.04732188,12136.961533,10288,7190,869885,326,,0
HARYANA,32,TON,108,81,39,12877.31600000,34641992.86704000,0.01287763,40.396721,2598,34.75105468,111839.025823,17749,30758,2727260,5080,,45
HIMACHAL PRADESH,43,TON,38,14,14,138.36103000,474551.47597000,0.00013845,0.552847,171,0.47537130,1831.007702,2343,1161,125672,180,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,1,1,43.20000000,196846.47590000,0.00004320,0.203340,,0.19685581,1202.718767,2751,200,52150,6,,399
JHARKHAND,47,TON,19,,,,34624.63296000,,,,0.03462751,68.795567,2564,,267578,,,42
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
KARNATAKA,695,TON,5,,,,262616.23806000,,,,0.26261637,1899.414444,849,854,1563,,,15
KERALA,694,TON,6,,,,780.96587000,,,,0.00078846,2.558110,444,,3199,,,3
MADHYA PRADESH,20,TON,139,7,5,806.10000000,10721059.14848000,0.00080611,4.542334,21,10.72334396,35833.661849,25949,,3025274,445,,1088
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,52,27,1674.68852000,5882578.71733500,0.00931558,8.048329,837,9.57364053,21926.831032,23566,18492,1246450,1003,,0
NAGALAND,35,TON,19,,,,1217.33000000,,,,0.00121733,5.356103,182,,184,,,
ODISHA,384,NOS,,,,,479555159.00000000,,,,47.95551560,118.116358,,,,,,
ODISHA,384,TON,66,7,6,95.73400000,2463589.40643000,0.00009575,0.227466,21,2.46370479,6180.457858,10175,,472288,18,,10175
PUDUCHERRY,599,TON,2,,,,54314.12786220,,,,1.74316141,204.447965,235,,13630,,,0
PUNJAB,602,TON,79,34,29,3645.90500000,4300730.95698000,0.00364703,11.639405,745,4.30133493,13918.546809,4265,12568,217931,888,,0
RAJASTHAN,26,NOS,,2,1,105.00000000,11657208.00000000,0.00001050,0.000499,,1.16572080,22.430695,,,,6,,
RAJASTHAN,26,TON,173,109,84,30393.91010000,29890587.99865000,0.03046475,106.408200,6491,29.91159504,123502.675035,87105,27699,1551132,8016,,87105
TAMIL NADU,509,NOS,,,,,32307289.00000000,,,,3.23072860,34.290857,,,,,,
TAMIL NADU,509,TON,213,4,6,33.06660000,3319196.00496580,0.00003311,0.140797,7,34.18037081,8973.159298,12936,0,472610,115,,2636
TELANGANA,28,TON,57,4,4,28.42100000,7628503.41327000,0.00002845,0.116582,,7.63199055,28588.594747,6380,5241,1823964,20,,6380
TRIPURA,36,TON,19,,,,67.56300000,,,,0.00006760,0.761776,66,,83,,,3
UTTAR PRADESH,46,TON,162,11,11,645.26000000,7953634.04560000,0.00064526,1.331546,,7.95378586,15604.011779,40791,8575,3305531,158,,32193
UTTARAKHAND,385,TON,20,7,7,385.41500000,966509.07603000,0.00038542,0.923502,102,0.96660534,1538.463546,6255,2727,92295,159,,6255
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,4,4,22.39000000,109694.79060000,0.00002243,0.068020,48,0.10980502,220.376519,5775,125,103026,53,,0
