state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,16,16,4052.43967000,8849293.10782000,0.00405495,8.579393,,8.85469244,58695.125572,3868,2360,1454153,2500,,3868
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,84,,,
BIHAR,33,TON,20,,,,3395.22900000,,,,0.00340727,13.611477,1002,,5191,,,91
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
CHANDIGARH,526,TON,1,,,,776394.68841000,,,,0.77641939,1583.434666,121,119,7108,,,1
CHHATTISGARH,100,TON,20,17,17,3328.56100000,1310247.34355000,0.00332896,6.461176,954,1.31057063,2756.791684,3683,254,136141,1173,,0
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,975,,30,,,
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GUJARAT,22,TON,144,49,44,2066.55250000,2910816.27953000,0.00206701,7.625508,,2.91187123,11517.338157,10262,7189,869852,906,,0
HARYANA,32,TON,108,54,29,5939.19550000,34094359.45199000,0.00593958,15.191831,1359,34.19963326,110360.423182,17540,30438,2727242,3549,,44
HIMACHAL PRADESH,43,TON,38,16,15,125.34645000,449564.19269000,0.00012561,0.504933,291,0.45035596,1698.884920,2331,1159,125583,307,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26850.00000000,,,,0.00268500,0.117764,,,,,,
JAMMU AND KASHMIR,696,TON,17,3,3,16.72000000,168533.68031000,0.00001672,0.062965,,0.16854244,1050.027942,2747,200,51959,13,,362
JHARKHAND,47,TON,19,,,,34323.12396000,,,,0.03432597,68.032340,2544,,267244,,,40
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
KARNATAKA,695,TON,5,2,2,428.75000000,239176.63806000,0.00042875,2.885938,,0.23917677,1753.649960,831,838,1557,183,,15
KERALA,694,TON,6,,,,765.18826000,,,,0.00077268,2.498877,442,,3163,,,3
MADHYA PRADESH,20,TON,139,62,47,7957.24020000,10239348.73260000,0.00795822,22.339763,1866,10.24157427,34147.388030,25905,,3025120,2002,,1108
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,74,35,2961.28107000,5556375.67257500,0.00514149,10.328963,955,8.89628780,20695.938317,23257,18337,1239698,1387,,0
NAGALAND,35,TON,19,3,3,0.99000000,1137.03000000,0.00000099,0.004351,,0.00113703,4.982025,181,,184,3,,
ODISHA,384,NOS,,3,4,1335270.00000000,436161193.00000000,0.13352700,0.057832,,43.61611900,110.864173,,,,33,,
ODISHA,384,TON,66,47,45,2390.15500000,2171964.21743000,0.00239024,5.138191,419,2.17207068,5432.282215,10033,,446784,508,,10033
PUDUCHERRY,599,TON,2,1,1,32.44500000,53110.43286220,0.00003247,0.102325,,1.74195643,200.143771,231,,13623,37,,0
PUNJAB,602,TON,79,5,3,110.65000000,4170057.39648000,0.00011065,0.064190,21,4.17065168,13598.069079,3539,10832,217895,29,,0
RAJASTHAN,26,NOS,,1,1,412.00000000,11123482.00000000,0.00004120,0.001890,,1.11234820,21.348549,,,,23,,
RAJASTHAN,26,TON,173,137,112,25909.02663000,28185076.93036000,0.02591190,112.315908,10530,28.20373952,116556.484254,86548,27450,1546907,13220,,86548
TAMIL NADU,509,NOS,,4,4,10302.00000000,27939348.00000000,0.00103020,0.012602,,2.79393450,26.044287,,,,4,,
TAMIL NADU,509,TON,213,81,78,4167.73060000,2973328.24287580,0.00417007,13.573400,2829,33.83412688,7950.616429,12340,0,464612,4779,,2404
TELANGANA,28,TON,57,27,21,2377.92092000,7545418.00040000,0.00237912,11.920038,190,7.54885965,28208.492188,6366,5156,1823957,2763,,6366
TRIPURA,36,TON,19,1,1,0.08000000,39.52000000,0.00000008,0.000256,1,0.00003954,0.571851,62,,72,1,,3
UTTAR PRADESH,46,TON,162,103,93,4327.07500000,7548007.34760000,0.00432709,10.934838,765,7.54815877,14658.603912,40045,8574,3305136,1318,,32153
UTTARAKHAND,385,TON,20,15,15,729.21500000,875847.46803000,0.00072926,1.263651,387,0.87594171,1398.862944,6176,2718,92138,331,,6176
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
WEST BENGAL,569,TON,18,15,15,161.87500000,99353.11960000,0.00016194,0.244040,173,0.09945621,195.370035,5683,125,97598,181,,0
