state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,9,8,306.22900000,9357030.15871000,0.00030667,1.185445,,9.36267925,60900.548304,3917,2365,1454249,411,,3917
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,110,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3594.79300000,,,,0.00360684,14.046969,1008,,5226,,,93
CHANDIGARH,526,TON,1,1,,,809430.31841000,,,18,0.80945505,1640.179464,121,119,7109,,,1
CHHATTISGARH,100,TON,20,,,,1476449.22735000,,,,1.47680102,3106.388845,3744,256,136285,,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,,,,3033262.80883000,,,,3.03435636,12072.280879,10284,7189,869885,,,0
HARYANA,32,TON,108,46,16,7175.02000000,34478162.54999000,0.00717504,21.393623,459,34.58725815,111334.527214,17677,30605,2727259,2489,,45
HIMACHAL PRADESH,43,TON,38,5,5,66.12053000,470157.94515000,0.00006634,0.280205,128,0.47097527,1807.284949,2333,1159,125669,132,,0
JAMMU AND KASHMIR,696,TON,17,,,,176698.19033000,,,,0.17670755,1094.945114,2751,200,52130,,,399
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34548.90096000,,,,0.03455177,68.639885,2563,,267523,,,42
KARNATAKA,695,TON,5,,,,261417.93806000,,,,0.26141807,1892.571392,849,854,1563,,,15
KERALA,694,TON,6,,,,778.01171000,,,,0.00078549,2.548355,444,,3193,,,3
MADHYA PRADESH,20,TON,139,1,1,38.90000000,10671312.12292000,0.00003890,0.102252,9,10.67359074,35669.808162,25944,,3025255,8,,1088
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,11,6,158.04500000,5845111.05911500,0.00311023,0.577543,67,9.45335150,21806.196137,23554,18470,1245744,210,,0
NAGALAND,35,TON,19,,,,1206.23000000,,,,0.00120623,5.297751,182,,184,,,
ODISHA,384,NOS,,,,,472451308.00000000,,,,47.24513050,116.919521,,,,,,
ODISHA,384,TON,66,6,6,667.77000000,2423485.81843000,0.00066784,2.265597,56,2.42359993,6060.726142,10154,,469464,92,,10154
PUDUCHERRY,599,TON,2,,,,54226.51586220,,,,1.74307372,204.197426,234,,13630,,,0
PUNJAB,602,TON,79,2,2,44.74500000,4267800.16948000,0.00004474,0.046560,24,4.26839614,13819.566402,4112,12401,217913,23,,0
RAJASTHAN,26,NOS,,,,,11541846.00000000,,,,1.15418460,22.227747,,,,,,
RAJASTHAN,26,TON,173,11,6,1694.16522000,29623542.90874000,0.00169434,5.090868,231,29.64387460,122480.898479,87062,27686,1550888,678,,87062
TAMIL NADU,509,NOS,,,,,31997938.00000000,,,,3.19979350,33.582675,,,,,,
TAMIL NADU,509,TON,213,2,3,49.96343000,3276341.51208580,0.00005005,0.347882,1,34.13749648,8859.395623,12854,0,471918,288,,2611
TELANGANA,28,TON,57,1,1,0.40000000,7618992.49819000,0.00000040,0.001475,,7.62247447,28557.063526,6378,5233,1823964,1,,6378
TRIPURA,36,TON,19,,,,66.77300000,,,,0.00006680,0.758005,66,,82,,,3
UTTAR PRADESH,46,TON,162,18,19,1077.05000000,7896505.64460000,0.00107705,3.074356,27,7.89665742,15473.275697,40763,8575,3305499,264,,32191
UTTARAKHAND,385,TON,20,6,6,316.82500000,955894.46803000,0.00031684,0.391416,106,0.95599043,1520.723520,6247,2727,92266,140,,6247
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,5,5,14.62000000,108747.12560000,0.00001467,0.029040,68,0.10885660,217.795355,5770,125,102424,68,,0
