state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,15,17,3128.39250000,9445611.73122000,0.00312910,27.903297,,9.45131332,61368.099331,3938,2366,1454249,2694,,3938
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,120,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3601.69300000,,,,0.00361374,14.058009,1013,,5232,,,93
CHANDIGARH,526,TON,1,,,,812858.09341000,,,,0.81288283,1646.693974,121,119,7109,,,1
CHHATTISGARH,100,TON,20,,,,1506890.16535000,,,,1.50724795,3171.791035,3757,256,136289,,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,,,,3055401.96183000,,,,3.05650449,12187.463881,10289,7190,869895,,,0
HARYANA,32,TON,108,70,28,8267.62100000,34903715.23904000,0.00826768,24.364468,917,35.01278032,112668.078608,17793,30848,2727260,3055,,45
HIMACHAL PRADESH,43,TON,38,6,5,123.72330000,476738.26772000,0.00012377,0.602937,58,0.47755995,1841.196033,2343,1161,125674,92,,0
JAMMU AND KASHMIR,696,TON,17,2,2,537.06000000,226938.47290000,0.00053706,3.128328,,0.22694782,1366.189063,2751,201,52158,28,,399
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,2,1,0.75000000,34861.35096000,0.00000075,0.002655,,0.03486425,69.452447,2571,,267903,1,,43
KARNATAKA,695,TON,5,,,,263912.88806000,,,,0.26391302,1906.657477,850,854,1563,,,15
KERALA,694,TON,6,1,1,1.63248000,788.54488000,0.00000164,0.004807,,0.00079610,2.587613,444,,3203,12,,3
MADHYA PRADESH,20,TON,139,,1,76.78300000,10764055.80007000,0.00007681,0.304548,,10.76634535,35971.347104,25960,,3025275,56,,1091
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,4,2,95.74000000,5921758.89095500,0.00763360,0.498792,175,9.66998980,22062.511318,23572,18496,1246796,278,,0
NAGALAND,35,TON,19,1,1,0.16000000,1227.85000000,0.00000016,0.000416,,0.00122785,5.412995,182,,184,1,,
ODISHA,384,NOS,,,,,483217935.00000000,,,,48.32179320,119.042127,,,,,,
ODISHA,384,TON,66,12,12,837.96200000,2488352.21343000,0.00083802,2.093062,61,2.48846861,6244.397713,10179,,473973,115,,10179
PUDUCHERRY,599,TON,2,,,,54341.95986220,,,,1.74318923,204.553379,235,,13630,,,0
PUNJAB,602,TON,79,17,12,2044.61300000,4353912.10498000,0.00204529,6.760738,430,4.35453396,14083.540809,4377,13106,217935,483,,0
RAJASTHAN,26,NOS,,,1,34300.00000000,11855977.00000000,0.00343000,0.068200,,1.18559770,22.815806,,,,7,,
RAJASTHAN,26,TON,173,14,11,7890.69100000,30173365.71905000,0.00789084,23.973896,793,30.19482027,124618.928738,87173,27734,1552355,2856,,87173
TAMIL NADU,509,NOS,,,,,32708748.00000000,,,,3.27087450,35.076949,,,,,,
TAMIL NADU,509,TON,213,,,,3353058.41793580,,,,34.21425132,9065.373973,12996,0,473143,,,2641
TELANGANA,28,TON,57,1,1,45.43500000,7660390.56128000,0.00004545,0.086675,,7.66388666,28686.432453,6392,5244,1823964,19,,6392
TRIPURA,36,TON,19,1,1,0.10000000,74.24600000,0.00000010,0.001050,1,0.00007427,0.782114,66,,83,1,,3
UTTAR PRADESH,46,TON,162,20,19,634.87000000,8011916.31960000,0.00063487,1.516827,88,8.01206822,15737.906214,40855,8575,3305575,212,,32191
UTTARAKHAND,385,TON,20,12,12,604.25000000,980016.23203000,0.00060427,0.998444,236,0.98011293,1562.388470,6262,2728,92311,279,,6262
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,8,7,45.12000000,110641.00860000,0.00004513,0.088837,73,0.11075211,223.239762,5776,125,103634,68,,0
