state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,19,18,2121.20612000,9387439.23867000,0.00212260,9.337121,,9.39310373,61033.218785,3928,2366,1454249,2430,,3928
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,114,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3594.79300000,,,,0.00360684,14.046969,1009,,5228,,,93
CHANDIGARH,526,TON,1,1,,,809430.31841000,,,38,0.80945505,1640.179464,121,119,7109,,,1
CHHATTISGARH,100,TON,20,17,18,922.73100000,1486079.22635000,0.00092295,1.920353,388,1.48643291,3127.310808,3752,256,136286,461,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,39,32,788.87800000,3042430.14413000,0.00078930,3.600316,,3.04352712,12119.310198,10288,7190,869885,409,,0
HARYANA,32,TON,108,80,41,10777.98400000,34567157.92404000,0.01077815,34.620194,2001,34.67621771,111602.155791,17720,30706,2727259,4527,,45
HIMACHAL PRADESH,43,TON,38,17,14,367.70210000,473130.19175000,0.00036790,2.136994,154,0.47394903,1823.921453,2341,1161,125670,232,,0
JAMMU AND KASHMIR,696,TON,17,15,14,2278.20800000,187602.20433000,0.00227821,11.519710,,0.18761154,1153.079151,2751,200,52143,115,,399
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,4,3,6.08000000,34603.41296000,0.00000608,0.014651,1,0.03460629,68.753114,2563,,267571,4,,42
KARNATAKA,695,TON,5,2,2,114.75000000,262394.33806000,0.00011475,0.668366,,0.26239447,1898.070972,849,854,1563,39,,15
KERALA,694,TON,6,2,1,0.79916000,778.81087000,0.00000079,0.002436,,0.00078628,2.550791,444,,3198,10,,3
MADHYA PRADESH,20,TON,139,39,30,3605.21340000,10707331.56678000,0.00360559,10.943832,1139,10.70961464,35786.579799,25949,,3025266,1425,,1088
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,62,30,1874.03961000,5866912.33444500,0.00687760,6.855523,863,9.54041280,21874.925093,23566,18488,1246235,1755,,0
NAGALAND,35,TON,19,1,1,0.40000000,1213.52000000,0.00000040,0.000880,,0.00121352,5.337276,182,,184,1,,
ODISHA,384,NOS,,4,3,11803.00000000,475891290.00000000,0.00118030,0.034950,,47.58912870,117.804842,,,,6,,
ODISHA,384,TON,66,36,35,2251.91600000,2448797.14143000,0.00225200,8.506857,269,2.44891208,6143.346505,10162,,471260,425,,10162
PUDUCHERRY,599,TON,2,1,1,7.17500000,54288.71786220,0.00000718,0.016472,,1.74313598,204.381434,234,,13630,3,,0
PUNJAB,602,TON,79,24,17,2570.25600000,4281551.98748000,0.00257108,7.752594,361,4.28215113,13859.522140,4224,12492,217931,527,,0
RAJASTHAN,26,NOS,,1,2,43615.00000000,11594708.00000000,0.00436150,0.081010,,1.15947080,22.330627,,,,17,,
RAJASTHAN,26,TON,173,122,105,18035.99000000,29766722.27365000,0.01811711,61.191647,7756,29.78743410,123036.798173,87095,27693,1551062,11403,,87095
TAMIL NADU,509,NOS,,4,3,55246.00000000,32174215.00000000,0.00552460,0.141110,,3.21742120,33.987791,,,,8,,
TAMIL NADU,509,TON,213,89,86,2927.19336000,3303705.99825580,0.00292890,7.968770,2120,34.16487385,8933.601571,12913,0,472339,3319,,2631
TELANGANA,28,TON,57,22,19,1184.84428000,7626203.71649000,0.00118539,3.286993,126,7.62968978,28581.028780,6380,5238,1823964,899,,6380
TRIPURA,36,TON,19,,,,67.34300000,,,,0.00006738,0.761010,66,,82,,,3
UTTAR PRADESH,46,TON,162,97,91,3648.13500000,7932643.16960000,0.00364814,8.328141,539,7.93279497,15557.079438,40785,8575,3305529,1256,,32191
UTTARAKHAND,385,TON,20,18,16,769.47500000,961700.17303000,0.00076951,1.318593,288,0.96179633,1529.827867,6252,2727,92275,311,,6252
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,12,11,80.13500000,109473.73060000,0.00008016,0.186718,121,0.10958370,219.768349,5775,125,102871,118,,0
