state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,17,16,4823.34218000,9169271.95991000,0.00482557,16.705135,,9.17483440,59979.691935,3887,2364,1454230,2540,,3887
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,99,,,
BIHAR,33,TON,20,,,,3440.68400000,,,,0.00345273,13.711478,1004,,5204,,,93
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
CHANDIGARH,526,TON,1,1,,,793401.01341000,,,82,0.79342572,1612.492479,121,119,7108,,,1
CHHATTISGARH,100,TON,20,18,18,1516.62100000,1411069.84135000,0.00151691,3.242043,613,1.41140900,2962.623010,3708,255,136221,749,,0
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,996,,30,,,
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GUJARAT,22,TON,144,44,42,876.77680000,2984660.88013000,0.00087712,4.350335,,2.98573779,11830.389723,10283,7189,869879,558,,0
HARYANA,32,TON,108,55,28,5335.62300000,34309997.15899000,0.00544473,11.349148,561,34.41696131,110874.443212,17601,30503,2727250,2893,,45
HIMACHAL PRADESH,43,TON,38,16,15,265.23077000,456563.62173000,0.00026545,1.369831,256,0.45736984,1729.627421,2332,1159,125660,285,,0
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,5,5,28.96300000,169685.69671000,0.00002897,0.129466,,0.16969487,1054.293388,2747,200,51972,21,,365
JHARKHAND,47,TON,19,1,1,5.15000000,34423.64896000,0.00000515,0.020085,,0.03442651,68.293519,2547,,267332,1,,40
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
KARNATAKA,695,TON,5,2,2,110.75000000,250897.58806000,0.00011075,0.689681,,0.25089772,1827.791977,836,847,1561,53,,15
KERALA,694,TON,6,,,,770.31194000,,,,0.00077779,2.520535,444,,3178,,,3
MADHYA PRADESH,20,TON,139,60,49,4679.13200000,10501145.84925000,0.00467992,18.487271,1531,10.50340146,35045.788986,25933,,3025215,1848,,1107
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,79,43,2988.53956000,5714014.66223500,0.01352038,9.007820,733,9.23713135,21300.445264,23408,18389,1242969,1243,,0
NAGALAND,35,TON,19,2,1,0.50000000,1172.00000000,0.00000050,0.002450,,0.00117200,5.138007,181,,184,1,,
ODISHA,384,NOS,,2,1,122100.00000000,452054966.00000000,0.01221000,0.090024,,45.20549630,113.625157,,,,6,,
ODISHA,384,TON,66,37,37,2042.41100000,2292678.44443000,0.00204253,6.027483,373,2.29278848,5713.110050,10097,,460055,452,,10097
PUDUCHERRY,599,TON,2,1,1,4.56300000,53680.87086220,0.00000458,0.019455,,1.74252764,202.521908,234,,13628,18,,0
PUNJAB,602,TON,79,9,8,1643.85000000,4213016.01248000,0.00164385,3.773173,154,4.21361029,13691.317997,3687,11229,217897,120,,0
RAJASTHAN,26,NOS,,2,2,4916.00000000,11270552.00000000,0.00049160,0.007817,,1.12705520,21.659191,,,,9,,
RAJASTHAN,26,TON,173,120,92,13540.26860000,29077656.23500000,0.01354193,57.527428,4871,29.09698381,120211.020252,86938,27629,1549357,7756,,86938
TAMIL NADU,509,NOS,,4,4,125998.00000000,29954993.00000000,0.01259980,0.277035,,2.99549900,29.748842,,,,108,,
TAMIL NADU,509,TON,213,88,91,4334.66097000,3114609.54055580,0.00433814,13.428834,3516,33.97567486,8412.642640,12622,0,468608,5634,,2524
TELANGANA,28,TON,57,17,13,323.19850000,7602562.88774000,0.00032350,1.691315,89,7.60603197,28473.998668,6373,5162,1823959,433,,6373
TRIPURA,36,TON,19,,,,55.82400000,,,,0.00005585,0.694778,65,,75,,,3
UTTAR PRADESH,46,TON,162,111,101,3796.35000000,7723317.79360000,0.00379635,8.930152,713,7.72346946,15075.821355,40310,8574,3305190,1320,,32185
UTTARAKHAND,385,TON,20,9,8,390.83500000,915667.92903000,0.00039084,0.466237,118,0.91576310,1457.264384,6210,2724,92191,163,,6210
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
WEST BENGAL,569,TON,18,13,13,75.75500000,104595.04060000,0.00007580,0.161636,140,0.10470163,205.982224,5746,125,99945,139,,0
