state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,15,14,3445.73600000,9180626.07185000,0.00344789,12.337200,,9.18619412,60015.979287,3888,2364,1454230,1870,,3888
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,99,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3440.68400000,,,,0.00345273,13.711478,1004,,5207,,,93
CHANDIGARH,526,TON,1,1,,,794387.15341000,,,80,0.79441186,1614.396477,121,119,7108,,,1
CHHATTISGARH,100,TON,20,15,15,1350.46200000,1415270.69735000,0.00135084,2.860559,497,1.41561068,2971.463721,3711,255,136226,738,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1001,,30,,,
GUJARAT,22,TON,144,39,35,1478.11150000,2987965.94853000,0.00147843,4.785970,,2.98904398,11843.667469,10283,7189,869880,508,,0
HARYANA,32,TON,108,50,28,2455.09300000,34317524.54199000,0.00256520,7.770510,623,34.42471091,110894.331545,17602,30505,2727250,2863,,45
HIMACHAL PRADESH,43,TON,38,11,9,77.79260000,456975.03553000,0.00007785,0.325800,96,0.45778174,1731.834555,2332,1159,125660,131,,0
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,5,5,28.28300000,169770.05171000,0.00002830,0.122374,,0.16977927,1054.668289,2747,200,51972,23,,365
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34423.64896000,,,,0.03442651,68.293519,2550,,267337,,,41
KARNATAKA,695,TON,5,2,2,518.50000000,251801.33806000,0.00051850,3.241838,,0.25180147,1833.422667,837,847,1562,239,,15
KERALA,694,TON,6,1,1,0.51890000,770.83084000,0.00000052,0.000902,,0.00077831,2.521437,444,,3179,3,,3
MADHYA PRADESH,20,TON,139,41,30,3397.11250000,10514675.41235000,0.00339799,12.807987,1068,10.51693313,35098.107031,25934,,3025215,1665,,1107
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,45,24,3070.50859000,5721928.04263500,0.00307061,14.536826,1007,9.24776977,21338.219000,23410,18416,1243136,1046,,0
NAGALAND,35,TON,19,,,,1172.20000000,,,,0.00117220,5.138867,181,,184,,,
ODISHA,384,NOS,,1,1,5000.00000000,453332466.00000000,0.00050000,0.000400,,45.33324630,113.734893,,,,1,,
ODISHA,384,TON,66,37,37,2522.69400000,2298227.43843000,0.00252274,6.777340,302,2.29833767,5728.975852,10100,,460377,451,,10100
PUDUCHERRY,599,TON,2,1,,,53701.49386220,,,,1.74254828,202.577148,234,,13630,,,0
PUNJAB,602,TON,79,6,3,482.75000000,4215990.56248000,0.00048275,1.384492,122,4.21658484,13698.212432,3761,11297,217897,166,,0
RAJASTHAN,26,NOS,,1,2,24020.00000000,11294762.00000000,0.00240200,0.051400,,1.12947620,21.711629,,,,6,,
RAJASTHAN,26,TON,173,97,66,4297.68650000,29100958.69879000,0.00429788,19.732028,2560,29.12032831,120313.903892,86941,27631,1549382,3253,,86941
TAMIL NADU,509,TON,213,6,11,204.35541000,3121523.04742580,0.00020507,1.537340,206,33.98259389,8434.143972,12629,0,468757,1361,,2531
TAMIL NADU,509,NOS,,1,2,76689.00000000,30128553.00000000,0.00766890,0.187747,,3.01285500,30.081704,,,,110,,
TELANGANA,28,TON,57,9,12,280.20384000,7603662.23885000,0.00028044,0.866061,36,7.60713179,28479.415918,6373,5162,1823959,360,,6373
TRIPURA,36,TON,19,,,,55.82400000,,,,0.00005585,0.694778,65,,75,,,3
UTTAR PRADESH,46,TON,162,112,103,4091.54300000,7735048.48860000,0.00409155,9.562996,717,7.73520017,15103.469911,40323,8574,3305205,1358,,32189
UTTARAKHAND,385,TON,20,15,15,644.70500000,917834.95403000,0.00064472,0.930754,237,0.91793017,1460.353964,6215,2724,92195,333,,6215
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
WEST BENGAL,569,TON,18,10,10,58.76000000,104833.34560000,0.00005881,0.115952,81,0.10494012,206.543567,5746,125,100067,80,,0
