state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,20,19,7806.75455000,9032380.77724000,0.00781087,25.731142,,9.03787432,59425.507285,3879,2364,1454194,4469,,3879
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,94,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3395.22900000,,,,0.00340727,13.611477,1002,,5201,,,91
CHANDIGARH,526,TON,1,1,1,730.12000000,785172.71841000,0.00073012,1.245047,70,0.78519742,1598.206211,121,119,7108,116,,1
CHHATTISGARH,100,TON,20,16,15,2001.54400000,1371154.53735000,0.00200180,4.033023,502,1.37148638,2877.940025,3695,255,136172,821,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,975,,30,,,
GUJARAT,22,TON,144,46,40,1089.55030000,2954040.16113000,0.00108998,5.001663,,2.95510714,11684.312456,10281,7189,869878,592,,0
HARYANA,32,TON,108,50,30,5846.93800000,34199903.29849000,0.00584714,10.795846,738,34.30616868,110630.444450,17558,30460,2727243,2770,,45
HIMACHAL PRADESH,43,TON,38,13,12,155.25645000,452166.17426000,0.00015567,0.656716,270,0.45296396,1710.610997,2331,1159,125586,241,,0
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JAMMU AND KASHMIR,696,TON,17,4,4,27.46500000,169157.63171000,0.00002749,0.092163,,0.16916657,1052.223725,2747,200,51959,21,,362
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34356.69896000,,,,0.03435955,68.108526,2545,,267270,,,40
KARNATAKA,695,TON,5,2,2,437.20000000,244685.28806000,0.00043720,2.640174,,0.24468542,1788.760681,833,846,1561,191,,15
KERALA,694,TON,6,,,,767.24247000,,,,0.00077475,2.508820,443,,3170,,,3
MADHYA PRADESH,20,TON,139,52,40,5676.10840000,10388335.63215000,0.00567674,17.798649,1599,10.39057604,34631.435628,25927,,3025147,1977,,1109
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,65,41,6050.13500000,5635961.69708500,0.00790755,21.993598,1009,9.06925115,20991.321132,23352,18368,1241132,2065,,0
NAGALAND,35,TON,19,1,1,0.20000000,1155.75000000,0.00000020,0.000560,,0.00115575,5.065857,181,,184,1,,
ODISHA,384,NOS,,3,3,140730.00000000,444731018.00000000,0.01407300,0.135651,,44.47310150,112.311350,,,,15,,
ODISHA,384,TON,66,39,36,2961.88800000,2232873.55143000,0.00296197,7.203010,303,2.23298129,5566.335364,10066,,453431,453,,10066
PUDUCHERRY,599,TON,2,1,1,14.25100000,53389.29686220,0.00001425,0.046741,,1.74223546,201.145523,232,,13623,21,,0
PUNJAB,602,TON,79,9,8,2449.35000000,4182451.20148000,0.00244935,4.656045,122,4.18304549,13618.911280,3546,10834,217895,324,,0
RAJASTHAN,26,NOS,,2,2,1207.00000000,11209544.00000000,0.00012070,0.003534,,1.12095440,21.532001,,,,13,,
RAJASTHAN,26,TON,173,129,102,39586.50695000,28773180.20290000,0.03958892,132.498436,4970,28.79244486,118970.162501,86823,27608,1548154,10950,,86823
TAMIL NADU,509,TON,213,79,78,2311.59023000,3032092.99074580,0.00231332,8.586776,2370,33.89293063,8156.298004,12491,0,466062,3539,,2456
TAMIL NADU,509,NOS,,4,5,74053.00000000,28698378.00000000,0.00740530,0.157259,,2.86983750,27.309489,,,,67,,
TELANGANA,28,TON,57,21,17,749.35665000,7588409.54246000,0.00074978,4.531646,241,7.59187053,28404.276023,6370,5159,1823959,1010,,6370
TRIPURA,36,TON,19,,,,46.43900000,,,,0.00004646,0.613658,65,,75,,,3
UTTAR PRADESH,46,TON,162,107,97,3236.03700000,7632637.20860000,0.00323605,7.022956,706,7.63278883,14863.105670,40082,8574,3305149,1231,,32150
UTTARAKHAND,385,TON,20,15,15,836.40000000,895356.92703000,0.00083641,1.142428,346,0.89545168,1427.409869,6188,2721,92167,409,,6188
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
WEST BENGAL,569,TON,18,14,14,140.33700000,102424.06760000,0.00014040,0.204907,169,0.10252896,201.279879,5724,125,98781,169,,0
