state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,9,8,616.11400000,9268798.54817000,0.00061681,3.754666,,9.27440602,60449.479930,3896,2365,1454242,540,,3896
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,100,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3486.14400000,,,,0.00349819,13.811490,1005,,5212,,,93
CHANDIGARH,526,TON,1,1,,,805014.38841000,,,22,0.80503912,1630.998033,121,119,7109,,,1
CHHATTISGARH,100,TON,20,1,1,0.37000000,1446859.41735000,0.00000037,0.001369,2,1.44720555,3041.151302,3728,255,136256,1,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,1002,,30,,,1
GUJARAT,22,TON,144,,,,3012579.96193000,,,,3.01366609,11962.215956,10283,7189,869883,,,0
HARYANA,32,TON,108,22,4,1786.80000000,34378807.28599000,0.00178680,5.470006,182,34.48671789,111063.046614,17635,30532,2727255,721,,45
HIMACHAL PRADESH,43,TON,38,3,2,3.63100000,463267.64441000,0.00000365,0.016647,14,0.46408047,1768.067925,2333,1159,125664,14,,0
JAMMU AND KASHMIR,696,TON,17,,,,170816.18990000,,,,0.17082548,1059.813323,2747,200,51977,,,366
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34447.10896000,,,,0.03444997,68.375832,2559,,267423,,,42
KARNATAKA,695,TON,5,,,,258511.88806000,,,,0.25851202,1875.126279,845,852,1563,,,15
KERALA,694,TON,6,,,,775.15043000,,,,0.00078263,2.535661,444,,3189,,,3
MADHYA PRADESH,20,TON,139,2,2,210.15000000,10589264.67578000,0.00021015,0.659408,58,10.59153128,35374.542460,25938,,3025241,72,,1087
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,7,6,386.84700000,5795739.45940500,0.00038703,1.812403,42,9.37716914,21615.701536,23505,18464,1244518,424,,0
NAGALAND,35,TON,19,,,,1187.17000000,,,,0.00118717,5.201659,181,,184,,,
ODISHA,384,NOS,,1,2,1031018.00000000,464665551.00000000,0.10310180,0.039242,,46.46655480,115.215150,,,,25,,
ODISHA,384,TON,66,6,5,347.27000000,2359577.14943000,0.00034727,0.910885,55,2.35968906,5884.489227,10136,,465179,54,,10136
PUDUCHERRY,599,TON,2,,,,53903.22986220,,,,1.74275027,203.326932,234,,13630,,,0
PUNJAB,602,TON,79,,,,4245318.43348000,,,,4.24591273,13765.622152,3883,11841,217906,,,0
RAJASTHAN,26,NOS,,,,,11402409.00000000,,,,1.14024090,21.946316,,,,,,
RAJASTHAN,26,TON,173,10,2,1378.35000000,29368119.35545000,0.00137835,6.475553,146,29.38751781,121466.804049,87000,27659,1550206,537,,87000
TAMIL NADU,509,NOS,,,,,31264327.00000000,,,,3.12643240,32.285704,,,,,,
TAMIL NADU,509,TON,213,2,2,38.11082000,3196910.28629580,0.00003813,0.799207,105,34.05803184,8655.306599,12736,0,470729,172,,2570
TELANGANA,28,TON,57,2,,,7609740.94772000,,,,7.61321494,28514.534159,6378,5197,1823962,,,6378
TRIPURA,36,TON,19,,,,61.23200000,,,,0.00006126,0.723911,65,,82,,,3
UTTAR PRADESH,46,TON,162,19,17,942.48000000,7811006.19460000,0.00094248,2.510275,54,7.81115796,15279.065121,40608,8574,3305391,267,,32200
UTTARAKHAND,385,TON,20,5,5,252.17500000,936409.67003000,0.00025218,0.453114,94,0.93650521,1489.762780,6224,2724,92215,119,,6224
WEST BENGAL,569,NOS,,,,,531100.00000000,,,,0.05311000,0.033243,,,,,,0
WEST BENGAL,569,TON,18,2,3,6.13500000,106690.79760000,0.00000616,0.014280,41,0.10679894,211.915936,5768,125,101193,46,,0
