state,stateid,tradeuomcd,enam_mandi,live_mandis,trade_mandis,trade_qty,sale_qty,trade_qty_crore,trade_amt,lots_assay,sale_qty_crore,sale_value,trader_count,ca_count,farmer_count,lotstraded,fpo_count,uniftradercount
ANDAMAN AND NICOBAR ISLANDS,37,TON,1,,,,0.01000000,,,,0.00000001,0.000030,4,,4,,,
ANDHRA PRADESH,276,TON,33,12,12,4355.00864000,9015684.59994000,0.00435731,8.310866,24,9.02116966,59370.509287,3879,2363,1454168,2534,,3879
ASSAM,38,TON,3,,,,16.90100000,,,,0.00001700,0.034606,8,,94,,,
BIHAR,33,NOS,,,,,158700.00000000,,,,0.01587000,1.140080,,,,,,
BIHAR,33,TON,20,,,,3395.22900000,,,,0.00340727,13.611477,1002,,5201,,,91
CHANDIGARH,526,TON,1,1,1,1350.08000000,783986.08841000,0.00135008,2.399619,66,0.78401079,1596.159247,121,119,7108,210,,1
CHHATTISGARH,100,TON,20,12,13,1570.05800000,1367604.91335000,0.00157031,2.954346,516,1.36793614,2870.653096,3694,255,136165,632,,0
GOA,34,NOS,,,,,380458.00000000,,,,0.03804580,0.301791,,,,,,
GOA,34,TON,7,,,,326.27495000,,,,0.00032648,1.842850,975,,30,,,
GUJARAT,22,TON,144,40,36,1230.95660000,2951795.80303000,0.00123145,5.578222,,2.95286188,11674.606784,10281,7189,869878,627,,0
HARYANA,32,TON,108,40,18,3474.52100000,34185147.06199000,0.00347478,8.946704,777,34.29141172,110600.413721,17557,30457,2727243,1791,,45
HIMACHAL PRADESH,43,TON,38,,,,451887.91736000,,,,0.45268466,1709.432362,2331,1159,125586,,,0
JAMMU AND KASHMIR,696,TON,17,4,4,30.16400000,169125.62171000,0.00003017,0.147032,,0.16913453,1052.103876,2747,200,51959,21,,362
JAMMU AND KASHMIR,696,GRAM,,,,,355.00000000,,,,0.00003550,0.007623,,,,,,
JAMMU AND KASHMIR,696,NOS,,,,,26890.00000000,,,,0.00268900,0.117788,,,,,,
JHARKHAND,47,NOS,,,,,5269.00000000,,,,0.00052700,0.031770,,,,,,
JHARKHAND,47,TON,19,,,,34356.69896000,,,,0.03435955,68.108526,2545,,267249,,,40
KARNATAKA,695,TON,5,1,1,291.20000000,244248.08806000,0.00029120,1.753352,,0.24424822,1786.120506,832,846,1561,147,,15
KERALA,694,TON,6,,,,767.24247000,,,,0.00077475,2.508820,443,,3170,,,3
MADHYA PRADESH,20,TON,139,5,8,1891.02000000,10378738.29540000,0.00189112,8.062049,149,10.38097729,34600.605980,25926,,3025147,974,,1109
MAHARASHTRA,,NOS,,,,,,,,,,,,,,,,
MAHARASHTRA,296,TON,133,40,30,3661.92127000,5627653.45765500,0.00366207,13.122066,1078,9.04651632,20960.824400,23339,18368,1241038,1150,,0
NAGALAND,35,TON,19,,,,1153.59000000,,,,0.00115359,5.059270,181,,184,,,
ODISHA,384,NOS,,,,,444449088.00000000,,,,44.44490850,112.058647,,,,,,
ODISHA,384,TON,66,9,8,298.58300000,2227215.37943000,0.00029859,0.499691,50,2.22732297,5552.386734,10066,,452677,56,,10066
PUDUCHERRY,599,TON,2,,,,53368.60486220,,,,1.74221477,201.074674,231,,13623,,,0
PUNJAB,602,TON,79,6,4,1033.40000000,4179761.05148000,0.00103340,2.194029,146,4.18035534,13613.056564,3543,10832,217895,131,,0
RAJASTHAN,26,NOS,,2,1,1020.00000000,11207217.00000000,0.00010200,0.002040,,1.12072170,21.526337,,,,1,,
RAJASTHAN,26,TON,173,106,70,11172.92330000,28715794.59042000,0.01117357,51.851723,4486,28.73505573,118760.679174,86823,27607,1548042,5753,,86823
TAMIL NADU,509,NOS,,1,,,28586313.00000000,,,,2.85863100,27.078974,,,,,,
TAMIL NADU,509,TON,213,15,17,90.30248000,3026792.09487580,0.00009044,0.805462,358,33.88762614,8138.138272,12479,0,465780,397,,2441
TELANGANA,28,TON,57,19,18,758.90418000,7586708.54634000,0.00075921,1.944154,43,7.59016850,28394.786735,6370,5159,1823959,621,,6370
TRIPURA,36,TON,19,,,,46.42500000,,,,0.00004645,0.613650,65,,75,,,3
UTTAR PRADESH,46,TON,162,16,14,648.60000000,7625433.08660000,0.00064860,1.897929,,7.62558469,14846.276997,40082,8574,3305149,199,,32151
UTTARAKHAND,385,TON,20,8,7,357.34000000,893703.42203000,0.00035736,0.396172,105,0.89379816,1425.131803,6187,2721,92165,193,,6187
WEST BENGAL,569,NOS,,,,,97100.00000000,,,,0.00971000,0.020223,,,,,,0
WEST BENGAL,569,TON,18,7,6,73.46500000,102106.96360000,0.00007348,0.127044,63,0.10221165,200.796771,5724,125,98669,58,,0
